initial_grid_nodes,bvp_tolerance,adaptive_mesh_nodes,max_rms_residual,Q,E_total,texture_degree,gauss_fractional_signed_error,u_center,phi_center
400,0.0001,537,9.74621669742762e-05,82.38222215559674,174.45072715757505,0.9999999871912724,5.057999130642088e-09,1.320296876049748,0.3303474384935628
400,1e-05,684,9.991008783894684e-06,82.38233132369952,174.45081482042622,0.9999999932565444,-1.6304536276656734e-08,1.3202969941158234,0.330347783103516
700,1e-05,966,9.926418475763412e-06,82.38236410164292,174.45084093684693,0.9999999962523145,5.089084709197778e-10,1.3202970188871055,0.3303478785144486
700,3e-06,1091,2.993870937001839e-06,82.38237125637596,174.45084670295782,0.9999999963396885,-3.8314529327010405e-10,1.3202970268448497,0.33034790064091274
1000,1e-06,1856,9.936912987925468e-07,82.38237896010108,174.45085295350543,0.9999999980278819,-1.546075489855525e-10,1.3202970343894482,0.3303479245787261
1400,3e-07,2853,2.998693233864263e-07,82.38238069091061,174.45085433311232,0.999999998222041,-1.353953615890191e-10,1.3202970359717334,0.33034792996498563
