Rmax,Q,E_total,E_core,E_EM,E_frame,texture_degree,rms_charge_radius,u_center,phi_center,A_center,max_BVP_rms_residual,Gauss_relative_mismatch,mesh_nodes,solver_status
12.0,77.54535719865223,170.61723214061573,74.44329137980463,0.7159609952980865,95.45797976551302,0.9999999994020644,2.6047134986854865,1.3165846039184408,0.280083497434935,0.7780458907446255,2.966695499081827e-06,4.274850791330667e-12,1197,0
16.0,79.13090434192,171.8276169158446,75.7444058732147,0.7934320271740051,95.28977901545588,0.9999999990419248,2.6140123785053424,1.317780470940197,0.29715973798076506,0.777898482476928,2.9515786628571585e-06,1.2955493804407026e-11,1087,0
20.0,80.1561573645314,172.6402903304044,76.58407495945967,0.8435297314564715,95.21268563948827,0.9999999986866375,2.6192865539303805,1.3185797659236456,0.30785978902580063,0.7778000722379333,2.9997338186760156e-06,3.3023959211652335e-11,1271,0
24.0,80.87154279720407,173.21674589250873,77.16905249630832,0.8785457939332763,95.16914760226713,0.9999999982909366,2.622944595503182,1.3191373729696572,0.3151894717013763,0.7777314732907272,2.9985749547687455e-06,6.987272971013871e-11,1136,0
32.0,81.80302944393274,173.97554190196115,77.92962131992667,0.9242657818166512,95.12165480021783,0.9999999976062519,2.627702909238208,1.319856402107456,0.32458326915755936,0.7776430814835733,2.8774753132158732e-06,2.3343700003444566e-10,16670,0
40.0,82.3823789291823,174.45085290366023,78.40203578153827,0.9527967981423991,95.09602032397954,0.9999999979529554,2.630661300928996,1.320297034091287,0.3303479245050035,0.7775889503047093,4.984472989570472e-06,5.736509539628702e-11,1559,0
