r,u,phi,f_over_pi,Omega_cov,frame_stiffness_A,charge_density
0.001,1.320297034091287,0.3303479245050035,1.0,0.7669652075494997,0.7775889503047093,1.3369616764105836
0.0677762938230384,1.3199961248230936,0.33024564592681505,0.9704761362100908,0.7669754354073185,0.777625913678087,1.3363701521483224
0.1345525876460768,1.319109839933355,0.32994478732084437,0.9414510960755041,0.7670055212679157,0.7777348594618914,1.3346285477299908
0.2013288814691152,1.317633157329586,0.32944585837896306,0.9125503663556128,0.7670554141621038,0.7779166299440315,1.3317287319977975
0.2681051752921536,1.3155578799202137,0.3287496361596189,0.8838329155355015,0.7671250363840382,0.7781726138919357,1.327657574203779
0.334881469115192,1.3128722107334596,0.3278572123679372,0.8553546786411023,0.7672142787632064,0.778504810757304,1.3223961878384078
0.4016577629382304,1.3095604499729887,0.3267699995237722,0.8271677364503935,0.7673230000476228,0.7789158857712593,1.3159194832968308
0.4684340567612688,1.3056026575394069,0.32548973904236445,0.7993196794676457,0.7674510260957637,0.7794092361446117,1.3081957139356408
0.5352103505843072,1.3009743147363515,0.32401851145659116,0.7718531564656516,0.767598148854341,0.7799890653983754,1.299186093925338
0.6019866444073456,1.2956460230907294,0.32235874891441435,0.744805613587457,0.7677641251085586,0.7806604624197233,1.2888445751177489
0.668762938230384,1.2895832810934553,0.3205132500033171,0.7182092210549844,0.7679486749996683,0.781429481469599,1.2771178750959131
0.7355392320534224,1.2827463805657884,0.3184851968781937,0.6920909757089585,0.7681514803121807,0.7823032191157915,1.2639458481282082
0.8023155258764608,1.2750904649107735,0.3162781745281535,0.666472961077286,0.7683721825471846,0.7832898836896776,1.2492622878799322
0.8690918196994992,1.2665657905816226,0.3138961918659143,0.6413727420027145,0.7686103808134086,0.7843988524597629,1.2329962427642132
0.9358681135225376,1.2571182310969917,0.3113437041368487,0.6168038682909072,0.7688656295863152,0.7856407111692209,1.2150739121305254
1.002644407345576,1.2466900592870078,0.3086256359359293,0.5927764609144955,0.7691374364064071,0.7870272698996628,1.1954211725431898
1.0694207011686143,1.2352210375446893,0.30574740389623456,0.5692978545508596,0.7694252596103766,0.7885715484078102,1.1739667567009144
1.1361969949916526,1.222649836879174,0.3027149378827024,0.5463732710997504,0.7697285062117298,0.7902877231832639,1.1506460715563485
1.2029732888146911,1.2089157926724545,0.29953469930337207,0.5240064998034238,0.7700465300696628,0.792191027585889,1.1254055958500522
