physical_rotation_angle_rad,domain_only_target_azimuth_rad_unwrapped,previous_combined_domain_value_action_target_azimuth_rad
0.0,-0.0,0.0
0.017453292519943295,-0.017453292519943295,0.0
0.03490658503988659,-0.03490658503988659,0.0
0.05235987755982989,-0.05235987755982989,0.0
0.06981317007977318,-0.06981317007977318,0.0
0.08726646259971647,-0.08726646259971647,0.0
0.10471975511965978,-0.10471975511965978,0.0
0.12217304763960307,-0.12217304763960307,0.0
0.13962634015954636,-0.13962634015954636,0.0
0.15707963267948966,-0.15707963267948966,0.0
0.17453292519943295,-0.17453292519943295,0.0
0.19198621771937624,-0.19198621771937624,0.0
0.20943951023931956,-0.20943951023931956,0.0
0.22689280275926285,-0.22689280275926285,0.0
0.24434609527920614,-0.24434609527920614,0.0
0.2617993877991494,-0.2617993877991494,0.0
0.2792526803190927,-0.2792526803190927,0.0
0.29670597283903605,-0.29670597283903605,0.0
0.3141592653589793,-0.3141592653589793,0.0
0.33161255787892263,-0.33161255787892263,0.0
0.3490658503988659,-0.3490658503988659,0.0
0.3665191429188092,-0.3665191429188092,0.0
0.3839724354387525,-0.3839724354387525,0.0
0.4014257279586958,-0.4014257279586958,0.0
0.4188790204786391,-0.4188790204786391,0.0
0.4363323129985824,-0.4363323129985824,0.0
0.4537856055185257,-0.4537856055185257,0.0
0.47123889803846897,-0.47123889803846897,0.0
0.4886921905584123,-0.4886921905584123,0.0
0.5061454830783556,-0.5061454830783556,0.0
0.5235987755982988,-0.5235987755982988,0.0
0.5410520681182421,-0.5410520681182421,0.0
0.5585053606381855,-0.5585053606381855,0.0
0.5759586531581288,-0.5759586531581288,0.0
0.5934119456780721,-0.5934119456780721,0.0
0.6108652381980153,-0.6108652381980153,0.0
0.6283185307179586,-0.6283185307179586,0.0
0.6457718232379019,-0.6457718232379019,0.0
0.6632251157578453,-0.6632251157578453,0.0
0.6806784082777885,-0.6806784082777885,0.0
0.6981317007977318,-0.6981317007977318,0.0
0.7155849933176751,-0.7155849933176751,0.0
0.7330382858376184,-0.7330382858376184,0.0
0.7504915783575618,-0.7504915783575618,0.0
0.767944870877505,-0.767944870877505,0.0
0.7853981633974483,-0.7853981633974483,0.0
0.8028514559173916,-0.8028514559173916,0.0
0.8203047484373349,-0.8203047484373349,0.0
0.8377580409572782,-0.8377580409572782,0.0
0.8552113334772214,-0.8552113334772214,0.0
0.8726646259971648,-0.8726646259971648,0.0
0.8901179185171081,-0.8901179185171081,0.0
0.9075712110370514,-0.9075712110370514,0.0
0.9250245035569946,-0.9250245035569946,0.0
0.9424777960769379,-0.9424777960769379,0.0
0.9599310885968813,-0.9599310885968813,0.0
0.9773843811168246,-0.9773843811168246,0.0
0.9948376736367679,-0.9948376736367679,0.0
1.0122909661567112,-1.0122909661567112,0.0
1.0297442586766545,-1.0297442586766545,0.0
1.0471975511965976,-1.0471975511965976,0.0
1.064650843716541,-1.064650843716541,0.0
1.0821041362364843,-1.0821041362364843,0.0
1.0995574287564276,-1.0995574287564276,0.0
1.117010721276371,-1.117010721276371,0.0
1.1344640137963142,-1.1344640137963142,0.0
1.1519173063162575,-1.1519173063162575,0.0
1.1693705988362009,-1.1693705988362009,0.0
1.1868238913561442,-1.1868238913561442,0.0
1.2042771838760873,-1.2042771838760873,0.0
1.2217304763960306,-1.2217304763960306,0.0
1.239183768915974,-1.239183768915974,0.0
1.2566370614359172,-1.2566370614359172,0.0
1.2740903539558606,-1.2740903539558606,0.0
1.2915436464758039,-1.2915436464758039,0.0
1.3089969389957472,-1.3089969389957472,0.0
1.3264502315156905,-1.3264502315156905,0.0
1.3439035240356338,-1.3439035240356338,0.0
1.361356816555577,-1.361356816555577,0.0
1.3788101090755203,-1.3788101090755203,0.0
1.3962634015954636,-1.3962634015954636,0.0
1.413716694115407,-1.413716694115407,0.0
1.4311699866353502,-1.4311699866353502,0.0
1.4486232791552935,-1.4486232791552935,0.0
1.4660765716752369,-1.4660765716752369,0.0
1.4835298641951802,-1.4835298641951802,0.0
1.5009831567151235,-1.5009831567151235,0.0
1.5184364492350666,-1.5184364492350666,0.0
1.53588974175501,-1.53588974175501,0.0
1.5533430342749532,-1.5533430342749532,0.0
1.5707963267948966,-1.5707963267948966,0.0
1.5882496193148399,-1.5882496193148399,0.0
1.6057029118347832,-1.6057029118347832,0.0
1.6231562043547265,-1.6231562043547265,0.0
1.6406094968746698,-1.6406094968746698,0.0
1.6580627893946132,-1.6580627893946132,0.0
1.6755160819145565,-1.6755160819145565,0.0
1.6929693744344996,-1.6929693744344996,0.0
1.710422666954443,-1.710422666954443,0.0
1.7278759594743862,-1.7278759594743862,0.0
1.7453292519943295,-1.7453292519943295,0.0
1.7627825445142729,-1.7627825445142729,0.0
1.7802358370342162,-1.7802358370342162,0.0
1.7976891295541595,-1.7976891295541595,0.0
1.8151424220741028,-1.8151424220741028,0.0
1.8325957145940461,-1.8325957145940461,0.0
1.8500490071139892,-1.8500490071139892,0.0
1.8675022996339325,-1.8675022996339325,0.0
1.8849555921538759,-1.8849555921538759,0.0
1.9024088846738192,-1.9024088846738192,0.0
1.9198621771937625,-1.9198621771937625,0.0
1.9373154697137058,-1.9373154697137058,0.0
1.9547687622336491,-1.9547687622336491,0.0
1.9722220547535925,-1.9722220547535925,0.0
1.9896753472735358,-1.9896753472735358,0.0
2.007128639793479,-2.007128639793479,0.0
2.0245819323134224,-2.0245819323134224,0.0
2.0420352248333655,-2.0420352248333655,0.0
2.059488517353309,-2.059488517353309,0.0
2.076941809873252,-2.076941809873252,0.0
2.0943951023931953,-2.0943951023931953,0.0
2.111848394913139,-2.111848394913139,0.0
2.129301687433082,-2.129301687433082,0.0
2.1467549799530254,-2.1467549799530254,0.0
2.1642082724729685,-2.1642082724729685,0.0
2.181661564992912,-2.181661564992912,0.0
2.199114857512855,-2.199114857512855,0.0
2.2165681500327987,-2.2165681500327987,0.0
2.234021442552742,-2.234021442552742,0.0
2.251474735072685,-2.251474735072685,0.0
2.2689280275926285,-2.2689280275926285,0.0
2.2863813201125716,-2.2863813201125716,0.0
2.303834612632515,-2.303834612632515,0.0
2.321287905152458,-2.321287905152458,0.0
2.3387411976724017,-2.3387411976724017,0.0
2.356194490192345,-2.356194490192345,0.0
2.3736477827122884,-2.3736477827122884,0.0
2.3911010752322315,-2.3911010752322315,0.0
2.4085543677521746,-2.4085543677521746,0.0
2.426007660272118,-2.426007660272118,0.0
2.443460952792061,-2.443460952792061,0.0
2.4609142453120048,-2.4609142453120048,0.0
2.478367537831948,-2.478367537831948,0.0
2.4958208303518914,-2.4958208303518914,0.0
2.5132741228718345,-2.5132741228718345,0.0
2.530727415391778,-2.530727415391778,0.0
2.548180707911721,-2.548180707911721,0.0
2.5656340004316642,-2.5656340004316642,0.0
2.5830872929516078,-2.5830872929516078,0.0
2.600540585471551,-2.600540585471551,0.0
2.6179938779914944,-2.6179938779914944,0.0
2.6354471705114375,-2.6354471705114375,0.0
2.652900463031381,-2.652900463031381,0.0
2.670353755551324,-2.670353755551324,0.0
2.6878070480712677,-2.6878070480712677,0.0
2.705260340591211,-2.705260340591211,0.0
2.722713633111154,-2.722713633111154,0.0
2.7401669256310974,-2.7401669256310974,0.0
2.7576202181510405,-2.7576202181510405,0.0
2.775073510670984,-2.775073510670984,0.0
2.792526803190927,-2.792526803190927,0.0
2.8099800957108707,-2.8099800957108707,0.0
2.827433388230814,-2.827433388230814,0.0
2.8448866807507573,-2.8448866807507573,0.0
2.8623399732707004,-2.8623399732707004,0.0
2.8797932657906435,-2.8797932657906435,0.0
2.897246558310587,-2.897246558310587,0.0
2.91469985083053,-2.91469985083053,0.0
2.9321531433504737,-2.9321531433504737,0.0
2.949606435870417,-2.949606435870417,0.0
2.9670597283903604,-2.9670597283903604,0.0
2.9845130209103035,-2.9845130209103035,0.0
3.001966313430247,-3.001966313430247,0.0
3.01941960595019,-3.01941960595019,0.0
3.036872898470133,-3.036872898470133,0.0
3.0543261909900767,-3.0543261909900767,0.0
3.07177948351002,-3.07177948351002,0.0
3.0892327760299634,-3.0892327760299634,0.0
3.1066860685499065,-3.1066860685499065,0.0
3.12413936106985,-3.12413936106985,0.0
3.141592653589793,-3.141592653589793,0.0
3.1590459461097367,-3.1590459461097367,0.0
3.1764992386296798,-3.1764992386296798,0.0
3.193952531149623,-3.193952531149623,0.0
3.2114058236695664,-3.2114058236695664,0.0
3.2288591161895095,-3.2288591161895095,0.0
3.246312408709453,-3.246312408709453,0.0
3.263765701229396,-3.263765701229396,0.0
3.2812189937493397,-3.2812189937493397,0.0
3.2986722862692828,-3.2986722862692828,0.0
3.3161255787892263,-3.3161255787892263,0.0
3.3335788713091694,-3.3335788713091694,0.0
3.351032163829113,-3.351032163829113,0.0
3.368485456349056,-3.368485456349056,0.0
3.385938748868999,-3.385938748868999,0.0
3.4033920413889427,-3.4033920413889427,0.0
3.420845333908886,-3.420845333908886,0.0
3.4382986264288293,-3.4382986264288293,0.0
3.4557519189487724,-3.4557519189487724,0.0
3.473205211468716,-3.473205211468716,0.0
3.490658503988659,-3.490658503988659,0.0
3.5081117965086026,-3.5081117965086026,0.0
3.5255650890285457,-3.5255650890285457,0.0
3.543018381548489,-3.543018381548489,0.0
3.5604716740684323,-3.5604716740684323,0.0
3.5779249665883754,-3.5779249665883754,0.0
3.595378259108319,-3.595378259108319,0.0
3.612831551628262,-3.612831551628262,0.0
3.6302848441482056,-3.6302848441482056,0.0
3.6477381366681487,-3.6477381366681487,0.0
3.6651914291880923,-3.6651914291880923,0.0
3.6826447217080354,-3.6826447217080354,0.0
3.7000980142279785,-3.7000980142279785,0.0
3.717551306747922,-3.717551306747922,0.0
3.735004599267865,-3.735004599267865,0.0
3.7524578917878086,-3.7524578917878086,0.0
3.7699111843077517,-3.7699111843077517,0.0
3.7873644768276953,-3.7873644768276953,0.0
3.8048177693476384,-3.8048177693476384,0.0
3.822271061867582,-3.822271061867582,0.0
3.839724354387525,-3.839724354387525,0.0
3.857177646907468,-3.857177646907468,0.0
3.8746309394274117,-3.8746309394274117,0.0
3.8920842319473548,-3.8920842319473548,0.0
3.9095375244672983,-3.9095375244672983,0.0
3.9269908169872414,-3.9269908169872414,0.0
3.944444109507185,-3.944444109507185,0.0
3.961897402027128,-3.961897402027128,0.0
3.9793506945470716,-3.9793506945470716,0.0
3.9968039870670147,-3.9968039870670147,0.0
4.014257279586958,-4.014257279586958,0.0
4.031710572106901,-4.031710572106901,0.0
4.049163864626845,-4.049163864626845,0.0
4.066617157146788,-4.066617157146788,0.0
4.084070449666731,-4.084070449666731,0.0
4.101523742186674,-4.101523742186674,0.0
4.118977034706618,-4.118977034706618,0.0
4.136430327226561,-4.136430327226561,0.0
4.153883619746504,-4.153883619746504,0.0
4.171336912266447,-4.171336912266447,0.0
4.1887902047863905,-4.1887902047863905,0.0
4.2062434973063345,-4.2062434973063345,0.0
4.223696789826278,-4.223696789826278,0.0
4.241150082346221,-4.241150082346221,0.0
4.258603374866164,-4.258603374866164,0.0
4.276056667386108,-4.276056667386108,0.0
4.293509959906051,-4.293509959906051,0.0
4.310963252425994,-4.310963252425994,0.0
4.328416544945937,-4.328416544945937,0.0
4.34586983746588,-4.34586983746588,0.0
4.363323129985824,-4.363323129985824,0.0
4.380776422505767,-4.380776422505767,0.0
4.39822971502571,-4.39822971502571,0.0
4.4156830075456535,-4.4156830075456535,0.0
4.4331363000655974,-4.4331363000655974,0.0
4.4505895925855405,-4.4505895925855405,0.0
4.468042885105484,-4.468042885105484,0.0
4.485496177625427,-4.485496177625427,0.0
4.50294947014537,-4.50294947014537,0.0
4.520402762665314,-4.520402762665314,0.0
4.537856055185257,-4.537856055185257,0.0
4.5553093477052,-4.5553093477052,0.0
4.572762640225143,-4.572762640225143,0.0
4.590215932745087,-4.590215932745087,0.0
4.60766922526503,-4.60766922526503,0.0
4.625122517784973,-4.625122517784973,0.0
4.642575810304916,-4.642575810304916,0.0
4.6600291028248595,-4.6600291028248595,0.0
4.6774823953448035,-4.6774823953448035,0.0
4.694935687864747,-4.694935687864747,0.0
4.71238898038469,-4.71238898038469,0.0
4.729842272904633,-4.729842272904633,0.0
4.747295565424577,-4.747295565424577,0.0
4.76474885794452,-4.76474885794452,0.0
4.782202150464463,-4.782202150464463,0.0
4.799655442984406,-4.799655442984406,0.0
4.817108735504349,-4.817108735504349,0.0
4.834562028024293,-4.834562028024293,0.0
4.852015320544236,-4.852015320544236,0.0
4.869468613064179,-4.869468613064179,0.0
4.886921905584122,-4.886921905584122,0.0
4.904375198104066,-4.904375198104066,0.0
4.9218284906240095,-4.9218284906240095,0.0
4.939281783143953,-4.939281783143953,0.0
4.956735075663896,-4.956735075663896,0.0
4.974188368183839,-4.974188368183839,0.0
4.991641660703783,-4.991641660703783,0.0
5.009094953223726,-5.009094953223726,0.0
5.026548245743669,-5.026548245743669,0.0
5.044001538263612,-5.044001538263612,0.0
5.061454830783556,-5.061454830783556,0.0
5.078908123303499,-5.078908123303499,0.0
5.096361415823442,-5.096361415823442,0.0
5.113814708343385,-5.113814708343385,0.0
5.1312680008633285,-5.1312680008633285,0.0
5.1487212933832724,-5.1487212933832724,0.0
5.1661745859032155,-5.1661745859032155,0.0
5.183627878423159,-5.183627878423159,0.0
5.201081170943102,-5.201081170943102,0.0
5.218534463463046,-5.218534463463046,0.0
5.235987755982989,-5.235987755982989,0.0
5.253441048502932,-5.253441048502932,0.0
5.270894341022875,-5.270894341022875,0.0
5.288347633542818,-5.288347633542818,0.0
5.305800926062762,-5.305800926062762,0.0
5.323254218582705,-5.323254218582705,0.0
5.340707511102648,-5.340707511102648,0.0
5.358160803622591,-5.358160803622591,0.0
5.375614096142535,-5.375614096142535,0.0
5.3930673886624785,-5.3930673886624785,0.0
5.410520681182422,-5.410520681182422,0.0
5.427973973702365,-5.427973973702365,0.0
5.445427266222308,-5.445427266222308,0.0
5.462880558742252,-5.462880558742252,0.0
5.480333851262195,-5.480333851262195,0.0
5.497787143782138,-5.497787143782138,0.0
5.515240436302081,-5.515240436302081,0.0
5.532693728822025,-5.532693728822025,0.0
5.550147021341968,-5.550147021341968,0.0
5.567600313861911,-5.567600313861911,0.0
5.585053606381854,-5.585053606381854,0.0
5.602506898901797,-5.602506898901797,0.0
5.619960191421741,-5.619960191421741,0.0
5.6374134839416845,-5.6374134839416845,0.0
